Location,Type1988,CityName,DistToCityKM,TotPop1988,FromBirthPct1988,ArrivedPct1988,Woj.,GG,DistanceTreblinka,DistanceRailway
Mordy,w,Warsaw,101.3581323,4507,71.5,28.5,siedlce,1,57.25415109,0.357256184
Mrozy,w,Warsaw,60.76332873,9449,63.6,36.4,siedlce,1,58.39905517,4.26882676
Paprotnia,w,Warsaw,98.52991664,3052,73.2,26.8,siedlce,1,46.82455676,10.89801359
Parysow,w,Warsaw,52.60369033,4134,82.4,17.6,siedlce,1,76.59563703,9.185150673
Pilawa,w,Warsaw,46.84543797,6398,72.2,27.8,siedlce,1,80.80064116,0.536864827
Pilawa,m,Warsaw,46.54467831,3174,51.9,48.1,siedlce,1,82.87057061,1.227195567
Poswietne,w,Warsaw,29.67251474,5885,76.9,23.1,siedlce,1,54.75042307,5.781451925
Przesmyki,w,Bialystok,103.8970367,5384,77.7,22.3,siedlce,1,56.18398693,4.362845832
Repki,w,Bialystok,97.22837809,6931,74.8,25.2,siedlce,1,38.32792855,14.24645985
Sabnie,w,Bialystok,91.34447942,4817,71.4,28.6,siedlce,1,23.09370187,7.359693952
Sadowne,w,Warsaw,73.8894636,7024,68.3,31.7,siedlce,1,12.56117683,2.736190179
Siedlce,w,Warsaw,88.58544599,12996,63.1,36.9,siedlce,1,53.47565081,1.892750973
Siedlce,m,Warsaw,87.00222008,68922,48.3,51.7,siedlce,1,53.81577546,0.28999207
Siennica,w,Warsaw,45.35724978,7226,68,32,siedlce,1,67.17915791,6.745048948
Skorzec,w,Warsaw,78.37492297,7388,80.2,19.8,siedlce,1,60.73837303,8.061012164
Sokolow Podlaski,w,Warsaw,84.36759998,6603,76.6,23.4,siedlce,1,26.37224743,2.064545666
Sokolow Podlaski,m,Warsaw,85.93374936,16706,51.3,48.7,siedlce,1,27.88883297,0.675821173
Stanislawow,w,Warsaw,36.77043679,6065,71.7,28.3,siedlce,1,51.672086,3.421164589
Sterdyn,w,Bialystok,83.15171023,5777,74.7,25.3,siedlce,1,20.23332208,11.12290226
Stoczek,w,Warsaw,71.1263906,5971,79,21,siedlce,1,13.21162959,7.132710151
Stoczek Lukowski,m,Warsaw,72.82132142,2569,53.7,46.3,siedlce,1,75.34679724,23.06131521
Stoczek Lukowski,w,Warsaw,75.77226213,8992,77,23,siedlce,1,75.59465675,21.89177261
Strachowka,w,Warsaw,45.89173072,3819,81.1,18.9,siedlce,1,38.78787428,9.419430279
Suchozebry,w,Warsaw,87.29555886,5035,78.3,21.7,siedlce,1,43.83583421,1.502027352
Trzebieszow,w,Warsaw,107.3020941,7518,80.3,19.7,siedlce,1,77.53955371,5.759782765
Wegrow,m,Warsaw,72.77216367,11866,57.9,42.1,siedlce,1,25.5375559,12.98831456
Wierzbno,w,Warsaw,58.70719348,3767,71,29,siedlce,1,37.53625615,16.8286238
Wisniew,w,Warsaw,89.6412169,7023,69.5,30.5,siedlce,1,64.73281443,5.678690062
Wodynie,w,Warsaw,70.29821978,6305,76.2,23.8,siedlce,1,66.05943421,14.25504478
Zbuczyn Poduchowny,w,Warsaw,102.7930449,10299,74,26,siedlce,1,67.84224045,7.76579809
Halinow,w,Warsaw,24.30960961,10169,60.5,39.5,warszawskie,1,64.05904425,1.5061563
Kobylka,m,Warsaw,17.61246294,12963,42,58,warszawskie,1,66.52565044,1.047944871
Radzymin,m,Warsaw,23.97268542,7472,60.4,39.6,warszawskie,1,63.75286266,10.75493908
Radzymin,w,Warsaw,24.53202283,9765,76.7,23.3,warszawskie,1,64.14195334,10.75493908
Serock,m,Warsaw,31.48717073,2774,62.6,37.4,warszawskie,0,68.38896605,12.72357491
Sulejowek,m,Warsaw,19.15358819,16251,42,58,warszawskie,1,67.30923276,0.443308225
Wolomin,w,Warsaw,21.70005901,10982,61,39,warszawskie,1,62.09483016,0.832603741
Wolomin,m,Warsaw,20.13555015,36085,45.3,54.7,warszawskie,1,63.85275956,0.832603741
Zielonka,m,Warsaw,17.63494897,14675,32.4,67.6,warszawskie,1,66.49767863,3.854807167
